sa3_name,year,sa3_income_percentile
Gold Coast Hinterland,2016,40
Goldfields,2011,89
Goldfields,2012,91
Goldfields,2013,92
Goldfields,2014,91
Goldfields,2015,89
Goldfields,2016,89
Gosford,2011,46
Gosford,2012,47
Gosford,2013,46
Gosford,2014,46
Gosford,2015,48
Gosford,2016,49
Gosnells,2011,53
Gosnells,2012,58
Gosnells,2013,62
Gosnells,2014,59
Gosnells,2015,60
Gosnells,2016,54
Goulburn - Mulwaree,2011,29
Goulburn - Mulwaree,2012,25
Goulburn - Mulwaree,2013,22
Goulburn - Mulwaree,2014,23
Goulburn - Mulwaree,2015,25
Goulburn - Mulwaree,2016,29
Grampians,2011,2
Grampians,2012,2
Grampians,2013,2
Grampians,2014,2
Grampians,2015,2
Grampians,2016,2
Granite Belt,2011,1
Granite Belt,2012,1
Granite Belt,2013,1
Granite Belt,2014,1
Granite Belt,2015,2
Granite Belt,2016,1
Great Lakes,2011,3
Great Lakes,2012,3
Great Lakes,2013,4
Great Lakes,2014,2
Great Lakes,2015,2
Great Lakes,2016,3
Griffith - Murrumbidgee (West),2011,5
Griffith - Murrumbidgee (West),2012,4
Griffith - Murrumbidgee (West),2013,3
Griffith - Murrumbidgee (West),2014,4
Griffith - Murrumbidgee (West),2015,4
Griffith - Murrumbidgee (West),2016,5
Gungahlin,2011,87
Gungahlin,2012,86
Gungahlin,2013,83
Gungahlin,2014,82
Gungahlin,2015,79
Gungahlin,2016,83
Gympie - Cooloola,2011,6
Gympie - Cooloola,2012,8
Gympie - Cooloola,2013,10
Gympie - Cooloola,2014,11
Gympie - Cooloola,2015,11
Gympie - Cooloola,2016,7
Hawkesbury,2011,49
Hawkesbury,2012,48
Hawkesbury,2013,47
Hawkesbury,2014,49
Hawkesbury,2015,52
Hawkesbury,2016,55
Heathcote - Castlemaine - Kyneton,2011,28
Heathcote - Castlemaine - Kyneton,2012,26
Heathcote - Castlemaine - Kyneton,2013,25
Heathcote - Castlemaine - Kyneton,2014,24
Heathcote - Castlemaine - Kyneton,2015,26
Heathcote - Castlemaine - Kyneton,2016,30
Hervey Bay,2011,10
Hervey Bay,2012,16
Hervey Bay,2013,21
Hervey Bay,2014,21
Hervey Bay,2015,18
Hervey Bay,2016,15
Hobart - North East,2011,37
Hobart - North East,2012,34
Hobart - North East,2013,36
Hobart - North East,2014,36
Hobart - North East,2015,35
Hobart - North East,2016,37
Hobart - North West,2011,9
Hobart - North West,2012,8
Hobart - North West,2013,7
Hobart - North West,2014,7
Hobart - North West,2015,6
Hobart - North West,2016,7
Hobart - South and West,2011,41
Hobart - South and West,2012,41
Hobart - South and West,2013,40
Hobart - South and West,2014,43
Hobart - South and West,2015,41
Hobart - South and West,2016,41
Hobart Inner,2011,61
Hobart Inner,2012,58
Hobart Inner,2013,58
Hobart Inner,2014,59
Hobart Inner,2015,60
Hobart Inner,2016,56
Hobsons Bay,2011,69
Hobsons Bay,2012,68
Hobsons Bay,2013,68
Hobsons Bay,2014,68
Hobsons Bay,2015,72
Hobsons Bay,2016,75
Holdfast Bay,2011,72
Holdfast Bay,2012,72
Holdfast Bay,2013,69
Holdfast Bay,2014,68
Holdfast Bay,2015,71
Holdfast Bay,2016,71
Holland Park - Yeronga,2011,72
Holland Park - Yeronga,2012,73
Holland Park - Yeronga,2013,71
Holland Park - Yeronga,2014,71
Holland Park - Yeronga,2015,72
Holland Park - Yeronga,2016,72
Hornsby,2011,85
Hornsby,2012,83
Hornsby,2013,80
Hornsby,2014,79
Hornsby,2015,79
Hornsby,2016,82
Huon - Bruny Island,2011,4
Huon - Bruny Island,2012,4
Huon - Bruny Island,2013,3
Huon - Bruny Island,2014,6
Huon - Bruny Island,2015,7
Huon - Bruny Island,2016,5
Hurstville,2011,62
Hurstville,2012,56
Hurstville,2013,54
Hurstville,2014,54
Hurstville,2015,53
Hurstville,2016,53
Innisfail - Cassowary Coast,2011,3
Innisfail - Cassowary Coast,2012,2
Innisfail - Cassowary Coast,2013,2
Innisfail - Cassowary Coast,2014,2
Innisfail - Cassowary Coast,2015,2
Innisfail - Cassowary Coast,2016,2
Inverell - Tenterfield,2011,1
Inverell - Tenterfield,2012,1
Inverell - Tenterfield,2013,1
Inverell - Tenterfield,2014,1
Inverell - Tenterfield,2015,1
Inverell - Tenterfield,2016,1
Ipswich Hinterland,2011,20
Ipswich Hinterland,2012,21
Ipswich Hinterland,2013,23
Ipswich Hinterland,2014,23
Ipswich Hinterland,2015,22
Ipswich Hinterland,2016,17
Ipswich Inner,2011,40
Ipswich Inner,2012,40
Ipswich Inner,2013,40
Ipswich Inner,2014,41
Ipswich Inner,2015,40
Ipswich Inner,2016,39
Jimboomba,2011,45
Jimboomba,2012,48
Jimboomba,2013,50
Jimboomba,2014,51
Jimboomba,2015,50
Jimboomba,2016,48
Joondalup,2011,82
Joondalup,2012,85
Joondalup,2013,87
Joondalup,2014,87
Joondalup,2015,87
Joondalup,2016,84
Kalamunda,2011,76
Kalamunda,2012,79
Kalamunda,2013,81
Kalamunda,2014,79
Kalamunda,2015,78
Kalamunda,2016,76
Katherine,2011,45
Katherine,2012,45
Katherine,2013,44
Katherine,2014,46
Katherine,2015,42
Katherine,2016,31
Keilor,2011,63
Keilor,2012,60
Keilor,2013,57
Keilor,2014,60
Keilor,2015,61
Keilor,2016,65
Kempsey - Nambucca,2011,2
Kempsey - Nambucca,2012,2
Kempsey - Nambucca,2013,2
Kempsey - Nambucca,2014,3
Kempsey - Nambucca,2015,2
Kempsey - Nambucca,2016,2
Kenmore - Brookfield - Moggill,2011,95
Kenmore - Brookfield - Moggill,2012,97
Kenmore - Brookfield - Moggill,2013,97
Kenmore - Brookfield - Moggill,2014,95
Kenmore - Brookfield - Moggill,2015,94
Kenmore - Brookfield - Moggill,2016,95
Kiama - Shellharbour,2011,53
Kiama - Shellharbour,2012,52
Kiama - Shellharbour,2013,51
Kiama - Shellharbour,2014,51
Kiama - Shellharbour,2015,51
Kiama - Shellharbour,2016,51
Kimberley,2011,52
Kimberley,2012,55
Kimberley,2013,58
Kimberley,2014,59
Kimberley,2015,55
Kimberley,2016,56
Kingston,2011,65
Kingston,2012,63
Kingston,2013,61
Kingston,2014,63
Kingston,2015,64
Kingston,2016,68
Knox,2011,46
Knox,2012,44
Knox,2013,43
Knox,2014,43
Knox,2015,44
Knox,2016,44
Kogarah - Rockdale,2011,49
Kogarah - Rockdale,2012,49
Kogarah - Rockdale,2013,48
Kogarah - Rockdale,2014,47
Kogarah - Rockdale,2015,45
Kogarah - Rockdale,2016,47
Ku-ring-gai,2011,100
Ku-ring-gai,2012,99
Ku-ring-gai,2013,99
Ku-ring-gai,2014,99
Ku-ring-gai,2015,99
Ku-ring-gai,2016,99
Kwinana,2011,58
Kwinana,2012,64
Kwinana,2013,67
Kwinana,2014,67
Kwinana,2015,68
Kwinana,2016,65
Lachlan Valley,2011,5
Lachlan Valley,2012,7
Lachlan Valley,2013,7
Lachlan Valley,2014,5
Lachlan Valley,2015,6
Lachlan Valley,2016,7
Lake Macquarie - East,2011,62
Lake Macquarie - East,2012,61
Lake Macquarie - East,2013,59
Lake Macquarie - East,2014,57
Lake Macquarie - East,2015,56
Lake Macquarie - East,2016,58
Lake Macquarie - West,2011,48
Lake Macquarie - West,2012,50
Lake Macquarie - West,2013,50
Lake Macquarie - West,2014,49
Lake Macquarie - West,2015,46
Lake Macquarie - West,2016,45
Latrobe Valley,2011,58
Latrobe Valley,2012,55
Latrobe Valley,2013,55
Latrobe Valley,2014,56
Latrobe Valley,2015,60
Latrobe Valley,2016,60
Launceston,2011,18
Launceston,2012,15
Launceston,2013,16
Launceston,2014,17
Launceston,2015,19
Launceston,2016,18
Leichhardt,2011,98
